postcode,postcode_status,LSOA_code,LSOA_name,index_of_multiple_deprivation_rank int,index_of_multiple_deprivation_decile
GL50 2BT,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2BU,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2BW,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BX,Terminated,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2BY,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2BZ,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DA,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DB,Terminated,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DD,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DE,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DF,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2DG,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DH,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2DJ,Terminated,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2DL,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DN,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DP,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2DQ,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2DR,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2DS,Live,E01022135,Cheltenham 011A E01022135,30282,10
GL50 2DT,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2DU,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2DW,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2DX,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2DY,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2DZ,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2EA,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EB,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2ED,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EE,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EF,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2EG,Live,E01022137,Cheltenham 011C E01022137,26715,9
